tweet_id,customer_message,intent,expected_action
6690,@AppleSupport My phone froze. Had to restart to fix. What’s happening after iOS 11 update.,apps,AUTO
2205782,I’m getting a pixel @115858 @AppleSupport https://t.co/Op22CS8gcU,apps,AUTO
2947037,My has been randomly restarting itself for a while. I woke up today to it being restarted randomly and somewhere in the process my phone deleted some of my contacts 🙄 @AppleSupport,apps,AUTO
344644,"@AppleSupport Random, even does it on home screen",display_screen,AUTO
1359180,"@AppleSupport Yes, Viber to be exact. i tried to install games but that message pop up too. @AppleSupport",apps,AUTO
397476,"@AppleSupport I need to cancel a subscription but when I tap my Apple ID, this happens! Can you help? https://t.co/MsBiiOaPlJ",account_icloud,AUTO
2968983,"All of a sudden there’s no fucking “I️” lol @AppleSupport y’all are the absolute worst and I️ pray your company falls under. I’m sure it won’t, and I’ll probably still get an iPhone, but FUCK YOU, you suck.",apps,AUTO
876712,@AppleSupport This iOS update is glitch on top of glitch on top of glitch. I’m very tired.,apps,AUTO
363768,@AppleSupport Restarting it worked.,apps,AUTO
717206,@AppleSupport IPhone 6 Silver 16 Giga :) 🙁,apps,AUTO
766961,@AppleSupport both. 'Rake It Up' is purchased but the others are from Apple Music.,audio_media,AUTO
841873,@AppleSupport from 80% battery to 10% battery in an hour. Not cool. Send help.,battery_power,AUTO
1078557,@AppleSupport Please update IOS 11 and fix the bugs I can’t update my contacts and now my Touch ID don’t work?,apps,AUTO
2807616,I think I broke Siri...she won’t speak to me anymore.  @115858 @AppleSupport HELP!!!  😞,apps,AUTO
2078532,"@AppleSupport have the iphone8+, cant turn off true tone..no option available, auto brightness not working at all. On ios11.0.3",display_screen,AUTO
1914274,"@115858 @AppleSupport,why lock my account because u want me to reset my password then not let me “it’s to weak” I don’t want a long stupid 1",account_icloud,AUTO
2299877,@90272 @AppleSupport same issue still persists.. no fix from apple,apps,AUTO
447381,My apple pencil does the opposite of charging when I plug it in #unimpressed @AppleSupport https://t.co/91oCkU12XF,charging_power,AUTO
302950,Pretty sure my phone is possessed?? The volume on my music changes by itself .. what the fuck @AppleSupport?? https://t.co/CJvSKExcij,audio_media,AUTO
554906,I can’t use my Apple TV because my remote won’t work and I can’t use the remote app because it’s asking me to put some code into my Apple TV and I can’t do that without the remote.🤦🏼‍♀️ @AppleSupport,apps,AUTO
1746890,I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ @AppleSupport fix this shit,apps,AUTO
1217549,@AppleSupport - iPhone 5S not always charging after iOS 11.0.3 install. Not impressed...,charging_power,AUTO
1376792,"@115990 What say you @AppleSupport ?  Does a Verizon ""Account Manager"" = ""authorized to pick up"" an iPhone at your store?",account_icloud,AUTO
103192,@AppleSupport @AppleSupport I need to charge the battery 3 times a day. And I'm sick of it.,battery_power,AUTO
2065764,"@AppleSupport ever since I updated to iOS 11, my phone has been non-stop freezing and glitching, it’s being slow and apps keep crashing.",apps,AUTO
2427350,"@AppleSupport And other than restarting my phone, no. Wasn’t sure what kind of troubleshooting is possible",apps,AUTO
2152933,@AppleSupport Thanks Apple,apps,AUTO
2746186,"@AppleSupport ....They were good perfectly working 5s 64 gb. And yes I am using my Apple charger. It’s insane that I have to go and spend money on something that suppose to be working perfectly fine... And times that by 2...(((( 
#apple #brickedphone",charging_power,AUTO
2049904,@AppleSupport vou ver e te falo lek,apps,AUTO
1960131,@AppleSupport is it possible to update iOS 10 if the home button is broken?,apps,ESCALATE
208272,"@AppleSupport After use the two factor authentication,I can’t login the id again ,how to turn off the 2factor authentication?",account_icloud,AUTO
2502105,"@AppleSupport 
Hello, I need urgent help, I accidentally deleted a voice recording on my iPhone. How can I recover it?",apps,AUTO
1076341,@AppleSupport I’m fed up with Apple’s crappy updates that always do more harm than good!! Update also looks shite!,apps,AUTO
1724401,@AppleSupport you guys are killing me: https://t.co/Fetq82HEaZ,apps,AUTO
2945676,how can i remove the payment info in my phone??? huhuhu @AppleSupport,billing_payment,AUTO
146662,"@AppleSupport, dear friends, my iPhone somewhere lost my #thanksgiving badge. Where can I find it? I’m sad I had the 3.1 miles and get promise broken, no received https://t.co/gsGDBcCPHz",apps,ESCALATE
2730343,@AppleSupport Haha thanks I’d looked at those options but not realised it could do what I want - sorted now ! 😀,apps,AUTO
184450,"Dear @AppleSupport , What happend with your Mail app after the latest two ios updates?",apps,AUTO
339957,@AppleSupport How come my iPhone 8 Plus has these marks on it under the iPhone logo when all other models don’t? https://t.co/srXJnCWe1c,apps,AUTO
2918898,Why is it that the charging port breaks on every iPhone I buy? @AppleSupport #ComeOnMan,charging_power,AUTO
2834008,"@AppleSupport My back camera on my IPhone 7 doesn’t work, it just comes up with a black screen but my front camera does work. I’ve reset my phone settings and restarted my phone but it still isn’t working. Do you know what the problem could be please?",camera_photos,AUTO
